Country,Capital,Latitude,Longitude,GDP (Millions)
Mali,Bamako,12.6392,-8.0029,20904.90
Mozambique,Maputo,-25.9692,32.5732,20624.60
Gabon,Libreville,0.4162,9.4673,20516.13
Burkina Faso,Ouagadougou,12.3714,-1.5197,20324.62
Mongolia,Ulaanbaatar,47.8864,106.9057,19872.18
Haiti,Port-au-Prince,18.5944,-72.3074,19850.83
Benin,Porto-Novo,6.4969,2.6289,19673.28
Jamaica,Kingston,18.0425,-76.8029,19423.36
Botswana,Gaborone,-24.6282,25.9231,19395.77
Nicaragua,Managua,12.1328,-86.2504,17829.22
Palestine,Ramallah,31.9038,35.2034,17396.30
Niger,Niamey,13.5117,2.1251,16819.17
Guyana,Georgetown,6.8013,-58.1551,16786.30
Moldova,Chișinău,47.0105,28.8638,16539.44
Madagascar,Antananarivo,-18.8792,47.5079,16031.70
Laos,Vientiane,17.9757,102.6331,15843.16
Congo,Brazzaville,-4.2634,15.2429,15321.06
Brunei,Bandar Seri Begawan,4.9031,114.9398,15128.29
North Macedonia,Skopje,41.9973,21.4280,14761.24
Afghanistan,Kabul,34.5553,69.2075,14502.16
Mauritius,Port Louis,-20.1609,57.5012,14397.13
Bahamas,Nassau,25.0343,-77.3963,14338.50
Rwanda,Kigali,-1.9441,30.0619,14097.77
Malawi,Lilongwe,-13.9626,33.7741,14084.34
Kyrgyzstan,Bishkek,42.8746,74.5698,13987.63
Chad,N'Djamena,12.1348,15.0557,13149.33
Namibia,Windhoek,-22.5609,17.0658,12351.02
Equatorial Guinea,Malabo,3.7500,8.7833,12116.92
Tajikistan,Dushanbe,38.5598,68.7870,12060.60
South Sudan,Juba,4.8594,31.5713,11997.80
Somalia,Mogadishu,2.0469,45.3182,11679.80
Mauritania,Nouakchott,18.0735,-15.9582,10452.58
Togo,Lomé,6.1375,1.2123,9171.26
Syria,Damascus,33.5138,36.2765,8980.06
Monaco,Monaco,43.7333,7.4167,8784.00
Montenegro,Podgorica,42.4410,19.2636,7404.54
Liechtenstein,Vaduz,47.1410,9.5209,7364.65
Maldives,Malé,4.1755,73.5093,6600.00
Barbados,Bridgetown,13.0975,-59.6167,6393.56
Fiji,Suva,-18.1248,178.4501,5494.80
Eswatini,Mbabane,-26.3054,31.1367,4597.86
Liberia,Monrovia,6.3156,-10.8072,4332.00
Djibouti,Djibouti,11.8251,42.5903,4098.53
Sierra Leone,Freetown,8.4842,-13.2299,3809.83
Suriname,Paramaribo,5.8520,-55.2038,3782.44
Andorra,Andorra la Vella,42.5078,1.5211,3727.67
Belize,Belmopan,17.2510,-88.7590,3281.50
Bhutan,Thimphu,27.4728,89.6393,2898.23
Burundi,Gitega,-3.4284,29.9256,2642.16
Cabo Verde,Praia,14.9330,-23.5133,2587.25
Central African Republic,Bangui,4.3947,18.5582,2555.49
Saint Lucia,Castries,14.0101,-60.9870,2519.93
Gambia,Banjul,13.4549,-16.5790,2339.90
East Timor,Dili,-8.5569,125.5603,2243.14
Seychelles,Victoria,-4.6191,55.4513,2141.45
Eritrea,Asmara,15.3229,38.9251,2065.00
Lesotho,Maseru,-29.3142,27.4869,2046.04
Antigua and Barbuda,St. John's,17.1274,-61.8468,2033.09
